dimensions,num_beds,num_baths,house_type,city,location,area_block,price,unique_id,View,Floor Level,Balcony or Terrace,Flooring,Parking Spaces,Elevators in Building,24 Hours Concierge,Double Glazed Windows,Freehold,Waste Disposal,Lobby in Building,Electricity Backup,Intercom,CCTV Security,Maintenance Staff,Swimming Pool,Storage Areas,Barbeque Area,Cleaning Services,Service Elevators,Cafeteria or Canteen,Broadband Internet,Central Heating,Lawn or Garden,Furnished,Prayer Room,Conference Room,Business Center,Laundry Facility,Jacuzzi,Steam Room,Day Care Center,First Aid Medical Center,Shared Kitchen,ATM Facility,Facilities for Disabled,Sauna
1100.0,2,2,Apartment,Dhaka,Bashundhara R-A,Block D,45000.0,5334761,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1800.0,3,4,Apartment,Dhaka,Bashundhara R-A,Block D,40000.0,4480676,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700.0,4,3,Apartment,Dhaka,Bashundhara R-A,Block B,25000.0,3125783,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block H,25000.0,4191136,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000.0,3,4,Apartment,Dhaka,Bashundhara R-A,Block J,35000.0,5001342,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000.0,3,4,Apartment,Dhaka,Bashundhara R-A,Block J,35000.0,5001343,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000.0,3,4,Apartment,Dhaka,Bashundhara R-A,Block J,35000.0,5001341,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000.0,3,4,Apartment,Dhaka,Bashundhara R-A,Block J,35000.0,5001344,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000.0,3,4,Apartment,Dhaka,Bashundhara R-A,Block J,35000.0,5001340,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1425.0,3,4,Apartment,Dhaka,Bashundhara R-A,Block D,25000.0,3215852,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1750.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block A,30000.0,3626763,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2880.0,3,4,Apartment,Dhaka,Bashundhara R-A,Block C,48000.0,3091395,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400.0,3,4,Apartment,Dhaka,Bashundhara R-A,Block G,27000.0,3220371,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block G,24000.0,3846714,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block G,24000.0,3846713,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800.0,3,4,Apartment,Dhaka,Bashundhara R-A,Block C,30000.0,3867535,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
820.0,2,2,Apartment,Dhaka,Bashundhara R-A,Bashundhara Road,20000.0,5367849,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400.0,3,4,Apartment,Dhaka,Bashundhara R-A,Block A,27000.0,3066914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1873.0,3,4,Apartment,Dhaka,Bashundhara R-A,Block B,35000.0,3125154,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1800.0,3,4,Apartment,Dhaka,Bashundhara R-A,Block C,30000.0,3867536,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1500.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block I,23000.0,3580765,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block F,30000.0,4821914,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
