dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price
"3,300 sqft",3,4,Apartment,Dhaka,Gulshan,Gulshan 2,Check This Fine Looking Flat Of 3300 Sq Ft Offered For Rent Nearby Banani Society Mosque At Gulshan,/en/property/details-1732973.html,120000.0
"2,000 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,"Reside at ease, in this 2000 SQ FT flat for rent in Gulshan 2, near The City Bank Limited",/en/property/details-1732543.html,100000.0
"2,000 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,"Comfortable, convenient and well constructed 2000 SQ FT flat is ready for rent at Gulshan 2 very close to High Comission of Sri Lanka-Dhaka",/en/property/details-1731169.html,70000.0
"2,500 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,Get a comfortable 2500 SQ FT flat ready for rent at Gulshan 2 near Banani Society Mosque,/en/property/details-1731152.html,140000.0
"2,300 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,Start living in this awesome full furnished flat of 2300 SQ FT located at Gulshan 2 unoccupied for rent that is close to Singapore International School,/en/property/details-1728392.html,80000.0
"2,650 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 2,"If You Are Planning To Move In A Suitable Place, This 2650 Sq Ft Flat Available For Rent At Gulshan 2 Is Appropriate For You Which Is Close To Manarat International University",/en/property/details-1728385.html,120000.0
"5,100 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 1,"Start A New Home, In This 2100 Sq Ft Apartment For Rent In Gulshan, Near Government Titumir College",/en/property/details-1721658.html,180000.0
"3,200 sqft",5,5,Apartment,Dhaka,Gulshan,Gulshan 2,Sophisticated 3200 Sq Ft Flat Is Available For Rent In Gulshan 2 Close To Manarat International University,/en/property/details-1721304.html,150000.0
"3,800 sqft",3,4,Apartment,Dhaka,Gulshan,Gulshan 2,"Well Developed Residence Up For Rent In Gulshan 2 Near American International School Dhaka, Of 3850 Sq Ft",/en/property/details-1714471.html,250000.0
"2,000 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,"Make this 2000 SQ FT flat for rent, your residing location, in Gulshan near National Institute of Diseases",/en/property/details-1711208.html,50000.0
"3,000 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 2,"Choose your destination, 3000 SQ FT full furnished flat which is available for rent in Gulshan near to Grameenphone Center",/en/property/details-1707968.html,110000.0
"2,500 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,Take a look to a residential apartment built in the hub of Gulshan 2 having impressive 2500 SQ FT space for rent near to Pink City,/en/property/details-1705462.html,100000.0
"2,300 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,A Worthy 2300 Sq Ft Residential Apartment Is Ready For Rent At Gulshan Area Close To Banani Graveyard,/en/property/details-1700897.html,110000.0
"3,000 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,"You can move into this well planned and comfortable Residential flat in Gulshan for rent, of 3000 SQ FT, near Gulshan Model School &amp; College",/en/property/details-1697630.html,140000.0
"2,100 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,"Find Your Home In A 2100 Sq Ft Apartment For Rent, In Gulshan, Near Gulshan Central Masjid",/en/property/details-1694883.html,70000.0
