dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price
"2,200 sqft",4,5,Apartment,Dhaka,Bashundhara R-A,Block F,Ready flat 2200 SQ FT is now for rent in Bashundhara near by Block F,/en/property/details-1748484.html,35000.0
"1,500 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block I,A convenient 1500 SQ FT Residential Flat is prepared to be Rented at Bashundhara R/A nearby NSU University,/en/property/details-1748035.html,23000.0
"1,250 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block I,"You Can Move Into This Well Planned And Comfortable Residential Flat In Bashundhara R/a Block I For Rent, Of 1250 Sq Ft, Near North South University",/en/property/details-1747973.html,18000.0
"2,200 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block I,2200 Sq Ft Fine Flat Is Now For Rent Which Is In Bashundhara Near To Block I,/en/property/details-1747627.html,30000.0
"1,450 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,An Affordable Flat Of 1450 Sq Ft Is Available For Rent At Bashundhara R/a Adjacent To Apollo Hospital,/en/property/details-1747297.html,27000.0
"1,500 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block G,Offering you a very attractive flat of 1500 SQ FT for rent in Bashundhara R/A near to NSU University,/en/property/details-1746674.html,30000.0
"1,300 sqft",2,2,Apartment,Dhaka,Bashundhara R-A,Block F,"A Great Flat For Renting Purposes Is Available In Bashundhara R/a Block F, With A Space Of 1200 Sq Ft, Very Close To Jamuna Future Park",/en/property/details-1745175.html,25000.0
"2,400 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block D,A rightly planned 2400 SQ FT flat is found for rent in Bashundhara R/A near Playpen School,/en/property/details-1744863.html,75000.0
"1,200 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,A good looking 1200 SQ FT flat which is near to Block D is now for rent in Bashundhara R/A,/en/property/details-1742292.html,24000.0
"1,865 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block C,"Get comfortable in a 1865 SQ FT flat for rent in Bashundhara R/A Block C, near Jamuna Future Park",/en/property/details-1741928.html,35000.0
"1,437 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block B,1437 SQ FT flat is now vacant for rent in Bashundhara R-A close to Apollo Hospitals Dhaka,/en/property/details-1739415.html,25000.0
"2,025 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block B,Find 2025 Sq Ft Flat Available For Rent In Bashundhara R/a Near To Future World,/en/property/details-1738531.html,40000.0
"1,450 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block I,A Very Nice 1450 Sq Ft Flat Is Now Available For Rent Near By Bashundhara Industrial Headquarters In Bashundhara R/a,/en/property/details-1731666.html,27000.0
