dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price
"1,300 sqft",3,3,Apartment,Dhaka,Uttara,Sector 9,Find 1300 SQ FT flat available to Rent in Uttara near to Uttara Thana,/en/property/details-2013285.html,21500.0
900 sqft,2,2,Apartment,Dhaka,Uttara,Sector 9,900 SQ FT flat is now available to Rent nearby Uttara Thana in Uttara,/en/property/details-2012994.html,18000.0
"1,600 sqft",3,4,Apartment,Dhaka,Uttara,Sector 11,"An Apartment Is For Rent At Uttara, Near Uttara West Police Station",/en/property/details-2012826.html,35000.0
"1,800 sqft",3,4,Apartment,Dhaka,Uttara,Sector 13,1800 Sq Ft Flat Is Now Vacant To Rent In Uttara Close To Uttara Thana,/en/property/details-2012740.html,35000.0
"1,985 sqft",4,4,Apartment,Dhaka,Uttara,Sector 13,Get Comfortable In A 1985 Sq Ft Flat For Rent In Uttara Nearby Mastermind School,/en/property/details-2012745.html,48000.0
"1,400 sqft",3,3,Apartment,Dhaka,Uttara,Sector 9,Offering You A 3 Bedroom Nice Flat For Rent In Uttara Near Uttara City College,/en/property/details-2012568.html,26000.0
"1,200 sqft",3,3,Apartment,Dhaka,Uttara,Sector 9,"1200 Sq Ft Flat Can Be Found In Uttara, Sector 9, For Rent, Near Uttara Ideal College",/en/property/details-2012564.html,20000.0
800 sqft,2,2,Apartment,Dhaka,Uttara,Sector 10,800 SQ FT flat is now Vacant to rent in Uttara close to Uttara Police Station,/en/property/details-2012284.html,17475.0
"1,700 sqft",2,3,Apartment,Dhaka,Uttara,Sector 7,1700 Sq Ft An Elegant Flat Is Available For Rent In Uttara Nearby Uttara University,/en/property/details-2012185.html,40000.0
"1,500 sqft",3,3,Apartment,Dhaka,Uttara,Sector 4,1500 SQ FT flat is now to rent which is in Uttara near to Uttara Park,/en/property/details-2011946.html,30000.0
"1,650 sqft",3,4,Apartment,Dhaka,Uttara,Sector 9,"In The Location Of Uttara, A 1650 Sq. Ft Apartment Is For Rent Near Pubali Bank Limited",/en/property/details-2011955.html,28000.0
"2,250 sqft",4,3,Apartment,Dhaka,Uttara,Sector 4,At Uttara Nice Flat Up For Rent Near Gausul Azam Jame Masjid,/en/property/details-2011755.html,45000.0
"1,000 sqft",2,2,Apartment,Dhaka,Uttara,Sector 14,A Ready 1000 Sq. ft Apartment For Rent In Uttara Near Baitul Mamur Mosjid.,/en/property/details-2011614.html,19000.0
"1,500 sqft",3,3,Apartment,Dhaka,Uttara,Sector 7,Grab This Lovely Flat For Rent In Uttara Near Insight International School Before It's Rented Out,/en/property/details-2011507.html,34000.0
